"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_wards","algo_closest","algo_mbkmeans"
"ellipsoid.100d40c.9.dat",3.3398,2,21.87,1496369.5567,809.5381,1.439,0.0032,66.2727,0.33,0.1656,0.1652,0.1734,2.344,0.2596,0.4393,0.221307114837888,0.0242210952682637,0.471679150481392,0.00172789265428431,0.183494293263694,0.165745777828914,0.409013377557488,0.0618650709114742,0.125709027794044
"ellipsoid.100d4c.1.dat",3.1092,2,12.86,1478646.6942,1839.4491,3.781,0.0037,49.4615,0.26,0.4681,0.157,0.1777,2.7458,0.176,0.7725,0.470108420032614,0.38881214200144,0.521919555054882,0.000981560729766824,0.349058160043446,0.261348699949608,0.385100911945673,0.227586793011177,0.259449027635864
"ellipsoid.100d4c.10.dat",2.9854,2,9.67,1264310.7082,1440.8791,3.7255,0,69.0714,0.14,0.518,0.1656,0.1829,1.7737,0.1835,0.7423,0.394617206045704,0.301413163484496,0.491445322945262,0.00222239199381883,0.195490142587454,0.197621081869472,0.706032782971935,0.0659513417242116,0.462632847273565
"ellipsoid.100d4c.2.dat",3.0056,2,10.13,1036546.9212,1266.1416,3.313,8e-04,67.5333,0.15,0.4822,0.1792,0.1729,2.1063,0.1781,0.7673,0.338393188248841,0.140503458412041,0.426599793906549,0.001352963179699,0.382480553178595,0.656466931286442,0.650779864476696,0.369170587394574,0.505659774146285
"ellipsoid.100d4c.3.dat",3.1242,2,13.31,1570631.3965,2084.3061,9.5452,2e-04,66.55,0.2,0.4854,0.178,0.1857,2.5332,0.1861,0.754,0.413099904830602,0.305880178978549,0.438980014802309,0.000426836153229146,0.320662260858085,0.261661467085704,0.7300940351681,0.368011497912579,0.415956518409058
"ellipsoid.100d4c.4.dat",3.1778,2,15.06,1360547.0181,1928.3262,7.4697,0,125.5,0.12,0.4747,0.1944,0.1852,2.695,0.1831,0.756,0.421069984578239,0.321251603863784,0.509136291186041,0.000632035508745559,0.440848642788189,0.586488546024733,0.592416631708698,0.541304025308135,0.393580968143579
"ellipsoid.100d4c.5.dat",3.0481,2,11.17,1184694.1917,1434.0287,3.3082,0,159.5714,0.07,0.4418,0.1897,0.1802,1.6211,0.1748,0.7718,0.582238527166453,0.171941973824711,0.423798753668783,0.00240519624949671,0.523860833480293,0.569044669825849,0.430993736721822,0.207275777926009,0.388885368967765
"ellipsoid.100d4c.6.dat",2.9289,2,8.49,894471.7733,1054.5442,3.0374,0,49.9412,0.17,0.4564,0.1939,0.1962,2.4178,0.1824,0.7583,0.437597970893107,0.329925561792069,0.459124589001785,0.000853231976083883,0.200151564614137,0.550826509993174,0.553632726390036,0.563886204857275,0.311178566922132
"ellipsoid.100d4c.7.dat",3.1176,2,13.11,1296461.1164,1742.1366,5.1657,0,109.25,0.12,0.455,0.1947,0.1858,2.5975,0.1806,0.7704,0.394419218530889,0.336454001428885,0.474118013375721,0.000447293563241952,0.166380397396155,0.436983814793966,0.332704113839525,0.469499765641308,0.505816712189504
"ellipsoid.100d4c.8.dat",3.0667,2,11.66,917438.7206,1245.0483,3.5946,0,58.3,0.2,0.4727,0.1942,0.1898,2.9698,0.1745,0.776,0.424098131073111,0.440071345241452,0.501522371834788,0.000587801075768064,0.284259847200602,0.29464333305316,0.373376591669795,0.335456985397531,0.373499763373897
